year,slope_year,combined_se,lower_95,upper_95,biome_name,agent
2012,64.05343841311557,1.2955266353412174,61.51420620784678,66.59267061838436,Temperate,Harvest
2013,66.3162677820408,1.3132866404963344,63.74222596666798,68.8903095974136,Temperate,Harvest
2014,71.81707068301722,1.3598450117470748,69.15177445999295,74.48236690604149,Temperate,Harvest
2015,70.24907833986855,1.3336400999474143,67.63514374397161,72.86301293576548,Temperate,Harvest
2016,76.52213727452505,1.3854684209208004,73.80661916952027,79.23765537952983,Temperate,Harvest
2017,63.70215630058445,1.306539079686696,61.141339704398526,66.26297289677038,Temperate,Harvest
2018,74.3394189145048,1.2951404583865622,71.80094361606714,76.87789421294246,Temperate,Harvest
2019,79.4604641221961,1.3617898811430431,76.79135595515574,82.12957228923646,Temperate,Harvest
2020,76.99549603925968,1.3351976149437002,74.37850871397002,79.61248336454933,Temperate,Harvest
2021,69.9870668980188,1.3426147902642671,67.35554190910084,72.61859188693676,Temperate,Harvest
2022,67.83843816142615,1.2431428190145182,65.4018782361577,70.27499808669461,Temperate,Harvest
2023,75.85349284834027,1.267816595279792,73.36857232159187,78.33841337508866,Temperate,Harvest
1985,24.967282767690623,0.4223062864178216,24.139562446311693,25.795003089069553,Mediterranean,Harvest
1986,26.67936315336691,0.3917153262840104,25.91160111385025,27.447125192883572,Mediterranean,Harvest
1987,24.783559609900617,0.39374090600230277,24.011827434136105,25.55529178566513,Mediterranean,Harvest
1988,25.53191160736646,0.49795688915106795,24.555916104630366,26.507907110102554,Mediterranean,Harvest
1989,26.210870387666688,0.37017336231456843,25.485330597530133,26.936410177803243,Mediterranean,Harvest
1990,23.94223623162232,0.4298286811995066,23.099772016471288,24.784700446773353,Mediterranean,Harvest
1991,25.743573221573648,0.45558082890469426,24.850634796920446,26.63651164622685,Mediterranean,Harvest
1992,24.37965758490803,0.423691353347479,23.549222532346974,25.21009263746909,Mediterranean,Harvest
1993,25.789504072938602,0.4203322307526618,24.965652900663386,26.613355245213818,Mediterranean,Harvest
1994,24.179963036871616,0.49687571837898864,23.206086628848798,25.153839444894434,Mediterranean,Harvest
1995,25.208482286583223,0.38553835548114257,24.452827109840182,25.964137463326264,Mediterranean,Harvest
1996,25.733768618779603,0.4543565588110685,24.84322976350991,26.624307474049296,Mediterranean,Harvest
1997,25.367548916481695,0.37050065597854226,24.641367630763753,26.093730202199637,Mediterranean,Harvest
1998,25.33312221766405,0.4494471741483768,24.452205756333232,26.21403867899487,Mediterranean,Harvest
1999,26.732443718883545,0.40408214957217825,25.940442705722074,27.524444732045016,Mediterranean,Harvest
2000,25.110241374119028,0.41359186644224755,24.29960131589222,25.920881432345833,Mediterranean,Harvest
2001,26.470690909563043,0.42053651236890627,25.646439345319987,27.2949424738061,Mediterranean,Harvest
2002,25.951797469400365,0.43234946250900164,25.104392522882723,26.799202415918007,Mediterranean,Harvest
2003,24.277993085628914,0.42477093903575297,23.44544204511884,25.11054412613899,Mediterranean,Harvest
2004,26.184803795412723,0.41497934403234865,25.37144428110932,26.998163309716126,Mediterranean,Harvest
2005,26.60480475920801,0.32580361359352294,25.96622967656471,27.243379841851315,Mediterranean,Harvest
2006,25.96515310718232,0.48433500662338863,25.015856494200477,26.914449720164164,Mediterranean,Harvest
2007,25.853129040632858,0.40013022704660317,25.068873795621517,26.6373842856442,Mediterranean,Harvest
2008,26.688426104770745,0.45884032247277046,25.789099072724113,27.587753136817376,Mediterranean,Harvest
2009,25.527289753806528,0.44269647188295125,24.659604668915943,26.394974838697113,Mediterranean,Harvest
2010,26.123515341665527,0.482078938548543,25.178640622110382,27.068390061220672,Mediterranean,Harvest
2011,25.83804351699143,0.449535599830833,24.956953741322998,26.719133292659862,Mediterranean,Harvest
2012,25.144987059169093,0.3543335513154502,24.45049329859081,25.839480819747376,Mediterranean,Harvest
2013,27.221090706494994,0.430867864662193,26.376589691757097,28.06559172123289,Mediterranean,Harvest
2014,26.647152657730157,0.4639308626010279,25.73784816703214,27.556457148428173,Mediterranean,Harvest
2015,25.314197601903174,0.39779580801148207,24.53451781820067,26.09387738560568,Mediterranean,Harvest
2016,25.40073957954027,0.42809180397418056,24.561679643750878,26.239799515329665,Mediterranean,Harvest
2017,25.260604685465175,0.3982410646830822,24.480052198686334,26.041157172244016,Mediterranean,Harvest
2018,26.390164541530368,0.46581888865345783,25.47715951976959,27.303169563291146,Mediterranean,Harvest
2019,24.339052373217505,0.39193689490198175,23.57085605920962,25.10724868722539,Mediterranean,Harvest
2020,25.66980242468307,0.48715794280712965,24.714972856781095,26.624631992585044,Mediterranean,Harvest
2021,26.17400888325829,0.45048232513234043,25.2910635259989,27.056954240517676,Mediterranean,Harvest
2022,25.72485539657023,0.3034472738503483,25.13009873982355,26.319612053316913,Mediterranean,Harvest
2023,26.5584271003519,0.4838316651075319,25.610117036741137,27.50673716396266,Mediterranean,Harvest
1985,109.07621794654219,4.798237093611868,99.67167324306293,118.48076265002145,Boreal,Natural
1986,47.21348948573071,4.100134503171403,39.17722585951476,55.24975311194666,Boreal,Natural
